Tempo,ITTC,LASER_BEAM_INDEX,LASER_BEAM_ANGLE_DEGREE,LASER_BEAM_LENGTH,VELOCITY_TOTAL,VELOCITY_AT_LASER_BEAM_DIRECTION
0,100000000.0,73,-116.44305546359233,1.0145572423934937,0.0,-0.0
0,100000000.0,74,-116.19371271115398,1.0211464166641235,0.0,-0.0
0,100000000.0,75,-115.94436995871563,0.996796190738678,0.0,-0.0
0,100000000.0,76,-115.69502720627727,0.9912648797035217,0.0,-0.0
0,100000000.0,77,-115.44568445383892,0.9922690391540527,0.0,-0.0
0,100000000.0,78,-115.19634170140057,0.9920885562896729,0.0,-0.0
0,100000000.0,79,-114.94699894896222,1.0074360370635986,0.0,-0.0
0,100000000.0,80,-114.69765619652387,1.0053092241287231,0.0,-0.0
0,100000000.0,81,-114.44831344408551,0.9992116689682007,0.0,-0.0
0,100000000.0,82,-114.19897069164716,1.0007885694503784,0.0,-0.0
0,100000000.0,83,-113.9496279392088,1.000413417816162,0.0,-0.0
